,userid,lag_days,correlation,metric
2391,1218500358268682240,7,0.7908928344039555,walking_speed_min
2392,1218500358268682240,14,0.718487624974101,walking_speed_min
2395,1219213321102397440,0,0.8032207431030811,walking_speed_min
2396,1219213321102397440,7,0.7381570684949332,walking_speed_min
2400,1220075038721081344,0,0.8767081220413588,walking_speed_min
2401,1220075038721081344,7,0.8577433532078513,walking_speed_min
2402,1220075038721081344,14,0.8013788725408589,walking_speed_min
2403,1220075038721081344,21,0.8203324709987767,walking_speed_min
2404,1220075038721081344,28,0.7625740236568679,walking_speed_min
2410,1220647683502927872,0,0.7465755425871267,walking_speed_min
2414,1220647683502927872,28,0.7227250087327863,walking_speed_min
2415,1220912304240271360,0,0.6194707497639532,walking_speed_min
2428,1222271249739489280,21,0.6002976440084251,walking_speed_min
2429,1222271249739489280,28,0.9045332961842067,walking_speed_min
2443,1222888097134026752,21,0.6418112874423012,walking_speed_min
2444,1222888097134026752,28,0.6063968293633257,walking_speed_min
2454,1225417403794071552,28,0.7861442645766584,walking_speed_min
2457,1225528304685686784,14,0.839812151739858,walking_speed_min
2458,1225528304685686784,21,0.650146437162323,walking_speed_min
2475,1226746711007436800,0,0.6761182220286204,walking_speed_min
2485,1226833626226368512,0,0.7783156886355235,walking_speed_min
2486,1226833626226368512,7,0.7997569063207164,walking_speed_min
2492,1226868397291741184,14,0.9163494051590411,walking_speed_min
2493,1226868397291741184,21,0.7857938715985902,walking_speed_min
2499,1226887605622808576,28,0.635196027910923,walking_speed_min
2500,1227601813916950528,0,0.8715122954407661,walking_speed_min
2501,1227601813916950528,7,0.718089235832726,walking_speed_min
2510,1227678032487653376,0,0.6464553304189372,walking_speed_min
2511,1227678032487653376,7,0.9219575925103087,walking_speed_min
2512,1227678032487653376,14,0.7698028250648696,walking_speed_min
2515,1228016946347909120,0,0.8226278815000463,walking_speed_min
2516,1228016946347909120,7,0.916988189427809,walking_speed_min
2517,1228016946347909120,14,0.7419879601654257,walking_speed_min
2523,1018555918008258560,21,0.829770182089145,walking_speed_avg
2524,1018555918008258560,28,0.6509186635067822,walking_speed_avg
2538,1200074200358264832,21,0.695089915251153,walking_speed_avg
2539,1200074200358264832,28,0.824585607453576,walking_speed_avg
2570,1202702106557358080,0,0.8137872235182999,walking_speed_avg
2571,1202702106557358080,7,0.7808114540303301,walking_speed_avg
2572,1202702106557358080,14,0.6585807176860362,walking_speed_avg
2626,1207005426345848832,7,0.6174284837122204,walking_speed_avg
2627,1207005426345848832,14,0.6415738862654641,walking_speed_avg
2647,1209054619317510144,14,0.7594585253299717,walking_speed_avg
2648,1209054619317510144,21,0.8973653870207469,walking_speed_avg
2649,1209054619317510144,28,0.8252751758089774,walking_speed_avg
2656,1210502516032155648,7,0.8232192400574418,walking_speed_avg
2657,1210502516032155648,14,0.6835103255749011,walking_speed_avg
2679,1215604526359937024,28,0.7940707506451169,walking_speed_avg
2683,1215866445171949568,21,0.8589468108876633,walking_speed_avg
2684,1215866445171949568,28,0.9219655960558099,walking_speed_avg
2685,1217113854211493888,0,0.6139878929310455,walking_speed_avg
2710,1219213321102397440,0,0.6866500500984593,walking_speed_avg
2711,1219213321102397440,7,0.6600974077200398,walking_speed_avg
2715,1220075038721081344,0,0.8591379578343046,walking_speed_avg
2716,1220075038721081344,7,0.9347736706705305,walking_speed_avg
2717,1220075038721081344,14,0.8758362772322322,walking_speed_avg
2718,1220075038721081344,21,0.8066154480570761,walking_speed_avg
2722,1220630307675860992,14,0.7313138695449196,walking_speed_avg
2726,1220647683502927872,7,0.7938667731568069,walking_speed_avg
2727,1220647683502927872,14,0.6380869377233963,walking_speed_avg
2749,1222547328535764992,28,0.8097777577315817,walking_speed_avg
2753,1222826978432393216,21,0.7927682965967521,walking_speed_avg
2756,1222888097134026752,7,0.6930934150076501,walking_speed_avg
2757,1222888097134026752,14,0.9240623122744706,walking_speed_avg
2758,1222888097134026752,21,0.9118983273296286,walking_speed_avg
2759,1222888097134026752,28,0.7121028140592655,walking_speed_avg
2772,1225528304685686784,14,0.6865433301932328,walking_speed_avg
2775,1225766754649972736,0,0.7892173906406382,walking_speed_avg
2790,1226746711007436800,0,0.6631313387178951,walking_speed_avg
2800,1226833626226368512,0,0.6538061608190242,walking_speed_avg
2801,1226833626226368512,7,0.820952868433272,walking_speed_avg
2806,1226868397291741184,7,0.7274435371920465,walking_speed_avg
2810,1226887605622808576,0,0.8240528247156347,walking_speed_avg
2825,1227678032487653376,0,0.7366783655425327,walking_speed_avg
2826,1227678032487653376,7,0.8021761759066762,walking_speed_avg
2831,1228016946347909120,7,0.8547488535889017,walking_speed_avg
2832,1228016946347909120,14,0.8294567668129317,walking_speed_avg
2838,1018555918008258560,21,0.7806896243096995,walking_speed_max
2839,1018555918008258560,28,0.6469675243840526,walking_speed_max
2853,1200074200358264832,21,0.7453609389012538,walking_speed_max
2854,1200074200358264832,28,0.8370032904767769,walking_speed_max
2885,1202702106557358080,0,0.8060478439945579,walking_speed_max
2886,1202702106557358080,7,0.7945853073893032,walking_speed_max
2887,1202702106557358080,14,0.6813150354116289,walking_speed_max
2914,1205233118415888384,28,0.6454070584874043,walking_speed_max
2936,1206552050020065280,7,0.6442912500135108,walking_speed_max
2963,1209054619317510144,21,0.7738895695382575,walking_speed_max
2964,1209054619317510144,28,0.880189628123523,walking_speed_max
2971,1210502516032155648,7,0.7190576931628214,walking_speed_max
2972,1210502516032155648,14,0.6518850216791521,walking_speed_max
2975,1213495788215894016,0,0.7989960842005284,walking_speed_max
2981,1213552453597499392,7,0.6733081008942657,walking_speed_max
2982,1213552453597499392,14,0.6537641994238046,walking_speed_max
2993,1215604526359937024,21,0.7381717925821062,walking_speed_max
2994,1215604526359937024,28,0.9407322754398538,walking_speed_max
2997,1215866445171949568,14,0.6761194227243926,walking_speed_max
2998,1215866445171949568,21,0.9359574989662011,walking_speed_max
2999,1215866445171949568,28,0.7554862487989855,walking_speed_max
3022,1218500358268682240,14,0.6246749041876607,walking_speed_max
3023,1218500358268682240,21,0.6641635049367631,walking_speed_max
3024,1218500358268682240,28,0.6744714928566116,walking_speed_max
3025,1219213321102397440,0,0.6325580975331107,walking_speed_max
3026,1219213321102397440,7,0.7884536132579486,walking_speed_max
3027,1219213321102397440,14,0.768515042761583,walking_speed_max
3031,1220075038721081344,7,0.779077196106057,walking_speed_max
3032,1220075038721081344,14,0.9543075731931437,walking_speed_max
3033,1220075038721081344,21,0.8568324739024318,walking_speed_max
3036,1220630307675860992,7,0.8599999572216523,walking_speed_max
3037,1220630307675860992,14,0.8227316734934926,walking_speed_max
3041,1220647683502927872,7,0.711077311512291,walking_speed_max
3072,1222888097134026752,14,0.7314152831061338,walking_speed_max
3073,1222888097134026752,21,0.789591380720927,walking_speed_max
3081,1225417403794071552,7,0.7202692795946959,walking_speed_max
